"Apply for breeder status (registered breeders only)","Apply for breeder status (registered breeders only)"
"Apply for wholesale customer status (industry-related companies only)","Apply for wholesale customer status (industry-related companies only)"
"Additional Information","Additional Information"
"Breeder Status","Breeder Status"
"Wholesaler Status","Wholesaler Status"
"Admin Comments","Admin Comments"
"GroomerShop","GroomerShop"
"Order as company","Order as company"
"Use Business Address","Use Business Address"
